City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,Nuoro,40.32,9.33,77.0,61,1,9.17,IT,2020-06-23 20:08:31
224,Hamilton,39.18,-84.53,81.0,47,40,16.11,US,2020-06-23 20:08:31
225,North Bend,43.41,-124.22,82.99,77,1,19.46,US,2020-06-23 20:05:05
226,Leninskoye,47.94,132.62,54.0,97,100,12.19,RU,2020-06-23 20:08:31
227,Lumphat,13.49,106.98,75.63,94,100,0.63,KH,2020-06-23 20:08:32
228,Auki,-8.77,160.7,76.59,83,0,3.87,SB,2020-06-23 20:08:32
229,Ipora,-16.44,-51.12,79.39,43,6,3.8,BR,2020-06-23 20:08:32
230,Valdivia,-39.81,-73.25,44.6,93,75,5.82,CL,2020-06-23 20:08:32
231,Majene,-3.54,118.97,78.42,86,72,13.85,ID,2020-06-23 20:08:32
232,Tuma,55.15,40.55,54.0,90,100,3.6,RU,2020-06-23 20:08:32
233,Ordzhonikidze,52.44,61.74,55.26,59,0,7.43,KZ,2020-06-23 20:08:32
234,Nouadhibou,20.93,-17.03,71.6,73,0,19.46,MR,2020-06-23 20:08:32
235,Miri,4.41,114.01,77.0,100,75,4.7,MY,2020-06-23 20:08:32
236,Castro,-24.79,-50.01,65.1,74,0,4.45,BR,2020-06-23 20:08:32
237,Gonen,40.1,27.65,66.2,88,40,2.24,TR,2020-06-23 20:08:33
238,Poso,-1.4,120.75,78.55,73,69,6.62,ID,2020-06-23 20:08:33
239,Henties Bay,-22.12,14.28,62.01,82,0,3.0,NA,2020-06-23 20:08:33
240,Jacqueville,5.21,-4.41,78.8,94,40,3.36,CI,2020-06-23 20:08:33
241,Sawakin,19.11,37.33,88.38,36,100,6.49,SD,2020-06-23 20:08:33
242,Tonshayevo,57.74,47.01,57.99,82,66,6.29,RU,2020-06-23 20:08:33
243,Tevriz,57.51,72.4,45.55,94,0,2.62,RU,2020-06-23 20:08:33
244,Oussouye,12.48,-16.55,82.4,83,33,4.7,SN,2020-06-23 20:08:33
245,Severo-Kurilsk,50.68,156.12,46.94,84,35,9.51,RU,2020-06-23 20:08:33
246,Manadhoo,5.77,73.38,83.79,78,100,14.36,MV,2020-06-23 20:08:33
247,Poum,-20.23,164.02,73.63,74,0,13.6,NC,2020-06-23 20:08:33
248,Praia,14.92,-23.51,80.6,65,0,23.04,CV,2020-06-23 20:08:33
249,Kondinskoye,59.65,67.41,45.61,96,9,5.57,RU,2020-06-23 20:08:34
250,Oga,46.46,10.35,64.4,67,0,5.82,IT,2020-06-23 20:08:34
251,Malabo,3.75,8.78,78.8,100,40,5.82,GQ,2020-06-23 20:08:34
